Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
Safety Not Guaranteed,6.9,2012,6,86,Colin Trevorrow,750000.0,4424699.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aubrey Plaza, Mark Duplass,0,0
Total Recall,6.2,2012,8,118,Len Wiseman,125000000.0,198467168.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Colin Farrell, Bokeem Woodbine,1,0
Piranha 3DD,3.8,2012,5,83,John Gulager,5000000.0,8518634.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Danielle Panabaker, Ving Rhames,0,0
Chronicle,7.0,2012,2,84,Josh Trank,12000000.0,126636097.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dane DeHaan, Alex Russell,0,0
The Lucky One,6.4,2012,4,101,Scott Hicks,25000000.0,99357138.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Zac Efron, Taylor Schilling,0,0
Man on a Ledge,6.6,2012,1,102,Asger Leth,42000000.0,47636031.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sam Worthington, Elizabeth Banks,1,0
Trouble with the Curve,6.8,2012,9,111,Robert Lorenz,30000000.0,48963137.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Clint Eastwood, Amy Adams,1,0
Step Up Revolution,6.4,2012,7,99,Scott Speer,33000000.0,140470746.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Kathryn McCormick, Ryan Guzman,0,0
V/H/S,5.8,2012,9,116,Matt Bettinelli-Olpin,242000.0,1944287.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Calvin Reeder, Lane Hughes,0,0
Mud,7.4,2012,5,130,Jeff Nichols,10000000.0,32613173.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew McConaughey, Tye Sheridan,1,0
Taken 2,6.2,2012,10,92,Olivier Megaton,45000000.0,376152455.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Liam Neeson, Famke Janssen,1,0
About Cherry,4.8,2012,8,98,Stephen Elliott,2500000.0,8315.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashley Hinshaw, James Franco,0,0
Frankenweenie,6.9,2012,10,87,Tim Burton,39000000.0,84247681.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winona Ryder, Catherine O Hara,1,0
This Means War,6.3,2012,2,103,McG,65000000.0,156491279.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Reese Witherspoon, Chris Pine,1,0
The Iceman,6.8,2012,5,106,Ariel Vromen,10000000.0,4552970.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Shannon, Chris Evans,1,0
Contraband,6.4,2012,1,109,Baltasar Korm kur,25000000.0,96262212.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Wahlberg, Giovanni Ribisi,1,0
The Woman in Black,6.4,2012,2,95,James Watkins,17000000.0,128955898.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Daniel Radcliffe, Janet McTeer,1,0
The Watch,5.7,2012,7,102,Akiva Schaffer,68000000.0,68267862.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ben Stiller, Vince Vaughn,1,0
Abraham Lincoln: Vampire Hunter,5.9,2012,6,105,Timur Bekmambetov,69000000.0,116471580.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Benjamin Walker, Rufus Sewell,0,0
Ice Age: Continental Drift,6.5,2012,7,88,Steve Martino,95000000.0,877244782.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ray Romano, Denis Leary,0,0
Maniac,6.1,2012,1,89,Franck Khalfoun,6000000.0,2631275.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Elijah Wood, Nora Arnezeder,1,0
LOL,4.3,2012,3,97,Lisa Azuelos,11000000.0,10578643.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Miley Cyrus, Douglas Booth,1,0
The Three Stooges,5.1,2012,4,92,Bobby Farrelly,30000000.0,54819301.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sean Hayes, Chris Diamantopoulos,0,0
Madagascar 3: Europe's Most Wanted,6.8,2012,6,93,Eric Darnell,145000000.0,746921274.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Stiller, Jada Pinkett Smith,1,0
The Words,7.0,2012,9,102,Brian Klugman,6000000.0,15950164.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bradley Cooper, Dennis Quaid,1,0
Diary of a Wimpy Kid: Dog Days,6.3,2012,8,94,David Bowers,22000000.0,77229695.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zachary Gordon, Robert Capron,0,0
Promised Land,6.6,2012,1,106,Gus Van Sant,15000000.0,11039031.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Damon, Frances McDormand,1,0
Resident Evil: Retribution,5.3,2012,9,95,Paul W S Anderson,65000000.0,240159255.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Milla Jovovich, Sienna Guillory,1,0
Think Like a Man,6.5,2012,4,122,Tim Story,12000000.0,96070507.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chris Brown, Gabrielle Union,0,0
Arthur Christmas,7.1,2011,11,97,Sarah Smith,100000000.0,147483926.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James McAvoy, Jim Broadbent,1,0
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,7,130,David Yates,125000000.0,1342359942.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Radcliffe, Emma Watson,1,0
Drive,7.8,2011,9,100,Nicolas Winding Refn,15000000.0,78714970.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Gosling, Carey Mulligan,1,0
Puss in Boots,6.6,2011,10,90,Chris Miller,130000000.0,554987477.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antonio Banderas, Salma Hayek,1,0
"Crazy, Stupid, Love.",7.4,2011,7,118,Glenn Ficarra,50000000.0,145079584.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Steve Carell, Ryan Gosling,1,0
The Intouchables,8.5,2011,11,112,Olivier Nakache,10070000.0,426588510.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fran ois Cluzet, Omar Sy,0,0
Scream 4,6.2,2011,4,111,Wes Craven,40000000.0,97231420.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Neve Campbell, Courteney Cox,1,0
Margin Call,7.1,2011,9,107,J C Chandor,3500000.0,19504039.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zachary Quinto, Stanley Tucci,0,0
The Help,8.1,2011,8,146,Tate Taylor,25000000.0,216639112.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viola Davis, Emma Stone,1,0
Transformers: Dark of the Moon,6.2,2011,6,154,Michael Bay,195000000.0,1123794079.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shia LaBeouf, Rosie Huntington Whiteley,1,0
Captain America: The First Avenger,6.9,2011,7,124,Joe Johnston,140000000.0,370569774.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chris Evans, Hugo Weaving,1,0
Friends with Benefits,6.5,2011,7,109,Will Gluck,35000000.0,149542245.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mila Kunis, Justin Timberlake,1,0
The Girl with the Dragon Tattoo,7.8,2011,12,158,David Fincher,90000000.0,232617430.0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,Daniel Craig, Rooney Mara,1,0
Moneyball,7.6,2011,9,133,Bennett Miller,50000000.0,110206216.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Brad Pitt, Robin Wright,1,0
Immortals,6.0,2011,11,110,Tarsem Singh,75000000.0,226904017.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Henry Cavill, Mickey Rourke,1,0
Horrible Bosses,6.9,2011,7,98,Seth Gordon,35000000.0,209838559.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Bateman, Charlie Day,1,0
X: First Class,7.7,2011,6,131,Matthew Vaughn,160000000.0,352616690.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,James McAvoy, Michael Fassbender,1,0
Thor,7.0,2011,5,115,Kenneth Branagh,150000000.0,449326618.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chris Hemsworth, Anthony Hopkins,1,0
Shame,7.2,2011,1,101,Steve McQueen,6500000.0,19123767.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Michael Fassbender, Carey Mulligan,1,0
Green Lantern,5.5,2011,6,114,Martin Campbell,200000000.0,219851172.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ryan Reynolds, Blake Lively,1,0
No Strings Attached,6.2,2011,1,108,Ivan Reitman,25000000.0,149228077.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Natalie Portman, Ashton Kutcher,1,0
In Time,6.7,2011,10,109,Andrew Niccol,40000000.0,173930596.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Justin Timberlake, Amanda Seyfried,0,0
Warrior,8.2,2011,9,140,Gavin O Connor,25000000.0,23308615.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tom Hardy, Nick Nolte,1,0
Bridesmaids,6.8,2011,5,125,Paul Feig,32500000.0,306442085.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Kristen Wiig, Maya Rudolph,1,0
Contagion,6.8,2011,9,106,Steven Soderbergh,60000000.0,136515867.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matt Damon, Kate Winslet,1,0
Just Go with It,6.4,2011,2,117,Dennis Dugan,80000000.0,214945591.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adam Sandler, Jennifer Aniston,1,0
Limitless,7.4,2011,3,105,Neil Burger,27000000.0,161849455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Bradley Cooper, Anna Friel,1,0
Sucker Punch,6.0,2011,3,110,Zack Snyder,82000000.0,89792502.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Emily Browning, Vanessa Hudgens,1,0
Something Borrowed,5.8,2011,5,112,Luke Greenfield,35000000.0,65100369.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ginnifer Goodwin, Kate Hudson,1,0
The Skin I Live In,7.6,2011,9,120,Pedro Almod var,10603088.84,33716389.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Antonio Banderas, Elena Anaya,1,0
Hugo,7.5,2011,11,126,Martin Scorsese,150000000.0,185770310.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Asa Butterfield, Chlo Grace Moretz,0,0
The Cabin in the Woods,7.0,2011,4,95,Drew Goddard,30000000.0,70038838.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Kristen Connolly, Chris Hemsworth,0,0
Mission: Impossible - Ghost Protocol,7.4,2011,12,132,Brad Bird,145000000.0,694713380.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tom Cruise, Jeremy Renner,1,0
Pirates of the Caribbean: On Stranger Tides,6.6,2011,5,136,Rob Marshall,250000000.0,1045713802.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp, Penélope Cruz,1,0
Tinker Tailor Soldier Spy,7.0,2011,1,127,Tomas Alfredson,24200000.0,81515369.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Gary Oldman, Colin Firth,1,0
Midnight in Paris,7.7,2011,6,94,Woody Allen,17000000.0,151672318.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Owen Wilson, Rachel McAdams,1,0
We Need to Talk About Kevin,7.5,2011,10,112,Lynne Ramsay,7000000.0,9232318.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Tilda Swinton, John C Reilly,1,0
A Very Harold & Kumar Christmas,6.2,2011,11,90,Todd Strauss Schulson,19000000.0,36192775.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kal Penn, John Cho,0,0
Sherlock Holmes: A Game of Shadows,7.4,2011,12,129,Guy Ritchie,125000000.0,543848418.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Robert Downey Jr , Jude Law,0,0
The Best Exotic Marigold Hotel,7.2,2011,5,124,John Madden,10000000.0,150501815.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Judi Dench, Bill Nighy,1,0
Melancholia,7.1,2011,5,135,Lars von Trier,7400000.0,17039814.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Kirsten Dunst, Charlotte Gainsbourg,1,0
Hanna,6.8,2011,4,111,Joe Wright,30000000.0,63782078.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saoirse Ronan, Cate Blanchett,1,0
The Resident,5.3,2011,3,91,Antti J Jokinen,20000000.0,6742156.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hilary Swank, Jeffrey Dean Morgan,1,0
The Three Musketeers,5.7,2011,10,110,Paul W S Anderson,75000000.0,132274484.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Logan Lerman, Matthew Macfadyen,1,0
Source Code,7.5,2011,4,93,Duncan Jones,32000000.0,147332697.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Jake Gyllenhaal, Michelle Monaghan,1,0
New Year's Eve,5.6,2011,12,118,Garry Marshall,56000000.0,142044638.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sarah Jessica Parker, Jessica Biel,1,0
The Lincoln Lawyer,7.3,2011,3,118,Brad Furman,40000000.0,86752352.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Matthew McConaughey, Marisa Tomei,1,0
Rango,7.2,2011,3,107,Gore Verbinski,135000000.0,245724603.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp, Isla Fisher,1,0
Rise of the Planet of the Apes,7.6,2011,8,105,Rupert Wyatt,93000000.0,481800873.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,James Franco, Andy Serkis,1,0
The Guard,7.3,2011,7,96,John Michael McDonagh,6000000.0,19561904.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brendan Gleeson, Don Cheadle,1,0
Rio,6.9,2011,4,96,Carlos Saldanha,90000000.0,483866772.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jesse Eisenberg, Anne Hathaway,1,0
I Am Number Four,6.1,2011,2,111,D J Caruso,60000000.0,149878437.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alex Pettyfer, Timothy Olyphant,0,0
One Day,7.0,2011,8,107,Lone Scherfig,15000000.0,59389433.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anne Hathaway, Jim Sturgess,1,0
The Change-Up,6.3,2011,8,112,David Dobkin,52000000.0,75450437.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jason Bateman, Ryan Reynolds,1,0
Cars 2,6.2,2011,6,106,John Lasseter,200000000.0,559852396.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Owen Wilson, Larry the Cable Guy,1,0
The Hangover Part II,6.4,2011,5,102,Todd Phillips,80000000.0,586764305.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bradley Cooper, Zach Galifianakis,1,0
Bad Teacher,5.6,2011,6,92,Jake Kasdan,20000000.0,216197492.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Cameron Diaz, Jason Segel,1,0
Super 8,7.0,2011,6,112,J J Abrams,50000000.0,260095986.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Elle Fanning, AJ Michalka,0,0
Fast Five,7.3,2011,4,130,Justin Lin,125000000.0,626137675.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vin Diesel, Paul Walker,1,0
Killer Joe,6.7,2011,6,102,William Friedkin,11000000.0,4633668.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matthew McConaughey, Emile Hirsch,1,0
The Descendants,7.3,2011,12,115,Alexander Payne,20000000.0,177243185.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,George Clooney, Shailene Woodley,1,0
Conan the Barbarian,5.1,2011,8,113,Marcus Nispel,90000000.0,63523283.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jason Momoa, Ron Perlman,0,0
Real Steel,7.0,2011,10,127,Shawn Levy,110000000.0,299268508.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Hugh Jackman, Evangeline Lilly,1,0
Hall Pass,5.9,2011,2,105,Bobby Farrelly,36000000.0,86157237.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Owen Wilson, Jason Sudeikis,1,0
The Adventures of Tintin,7.3,2011,12,107,Steven Spielberg,135000000.0,373993951.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jamie Bell, Andy Serkis,1,0
The Twilight Saga: Breaking Dawn - Part 1,4.9,2011,11,117,Bill Condon,110000000.0,712205856.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Kristen Stewart, Robert Pattinson,1,0
Young Adult,6.3,2011,12,94,Jason Reitman,12000000.0,22939027.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charlize Theron, Patrick Wilson,1,0
The Thing,6.2,2011,10,103,Matthijs van Heijningen Jr,38000000.0,31505287.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Mary Elizabeth Winstead, Joel Edgerton,1,0
Footloose,5.8,2011,10,113,Craig Brewer,24000000.0,63543328.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Kenny Wormald, Julianne Hough,0,0
The Tree of Life,6.8,2011,5,139,Terrence Malick,32000000.0,58409247.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Brad Pitt, Sean Penn,1,0
The Raid: Redemption,7.6,2011,4,101,Gareth Evans,1100000.0,9148519.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Iko Uwais, Ananda George,0,0
Cowboys & Aliens,6.0,2011,7,119,Jon Favreau,163000000.0,174822325.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Daniel Craig, Harrison Ford,1,0
Colombiana,6.4,2011,8,108,Olivier Megaton,40000000.0,71508440.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zoe Saldana, Michael Vartan,1,0
Machine Gun Preacher,6.7,2011,11,129,Marc Forster,30000000.0,3338690.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Butler, Michelle Monaghan,1,0
A Separation,8.3,2011,3,123,Asghar Farhadi,500000.0,22926076.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Payman Maadi, Leila Hatami,0,0
War Horse,7.2,2011,12,146,Steven Spielberg,66000000.0,177584879.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jeremy Irvine, Emily Watson,0,0
30 Minutes or Less,6.1,2011,8,83,Ruben Fleischer,28000000.0,40662632.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jesse Eisenberg, Danny McBride,1,0
Tower Heist,6.2,2011,11,104,Brett Ratner,75000000.0,152930623.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eddie Murphy, Ben Stiller,1,0
Diary of a Wimpy Kid: Rodrick Rules,6.5,2011,3,99,David Bowers,21000000.0,72526996.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zachary Gordon, Devon Bostick,0,0
The Grey,6.8,2011,1,117,Joe Carnahan,25000000.0,79781695.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liam Neeson, Dermot Mulroney,1,0
The Adjustment Bureau,7.0,2011,3,106,George Nolfi,50200000.0,127869379.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Matt Damon, Emily Blunt,1,0
Kung Fu Panda 2,7.2,2011,5,90,Jennifer Yuh Nelson,150000000.0,665692281.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Black, Angelina Jolie,1,0
Mr. Popper's Penguins,6.0,2011,6,94,Mark Waters,55000000.0,187361754.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Jim Carrey, Carla Gugino,1,0
Paul,6.9,2011,3,104,Greg Mottola,40000000.0,97984015.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Simon Pegg, Nick Frost,1,0
Final Destination 5,5.9,2011,8,92,Steven Quale,40000000.0,157887643.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Nicholas D Agosto, Emma Bell,0,0
Fright Night,6.4,2011,8,106,Craig Gillespie,30000000.0,41002607.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Anton Yelchin, Colin Farrell,0,0
The Muppets,7.1,2011,11,103,James Bobin,45000000.0,165184237.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Amy Adams, Jason Segel,1,0
You're Next,6.6,2011,8,95,Adam Wingard,1000000.0,26895481.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Sharni Vinson, Joe Swanberg,0,0
The Inbetweeners,6.7,2011,8,97,Ben Palmer,4235000.0,88823111.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Buckley, Blake Harrison,0,0
The Hidden Face,7.3,2011,9,97,Andr s Baiz,2600000.0,6318409.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Quim Guti rrez, Martina Garc a,0,0
50/50,7.6,2011,9,100,Jonathan Levine,8000000.0,41097853.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joseph Gordon Levitt, Seth Rogen,0,0
Inception,8.8,2010,7,148,Christopher Nolan,160000000.0,836848102.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Leonardo DiCaprio, Joseph Gordon Levitt,1,0
Shutter Island,8.2,2010,2,138,Martin Scorsese,80000000.0,294805697.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Leonardo DiCaprio, Emily Mortimer,1,0
Black Swan,8.0,2010,12,108,Darren Aronofsky,13000000.0,329398046.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Natalie Portman, Mila Kunis,1,0
Kick-Ass,7.6,2010,4,117,Matthew Vaughn,30000000.0,96188903.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron Taylor Johnson, Nicolas Cage,0,0
Harry Potter and the Deathly Hallows: Part 1,7.7,2010,11,146,David Yates,181500000.0,977070383.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Radcliffe, Emma Watson,1,0
Scott Pilgrim vs. the World,7.5,2010,8,112,Edgar Wright,60000000.0,49421974.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Michael Cera, Mary Elizabeth Winstead,1,0
The Social Network,7.8,2010,10,120,David Fincher,40000000.0,224920375.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jesse Eisenberg, Andrew Garfield,1,0
The American,6.3,2010,9,105,Anton Corbijn,20000000.0,67876281.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,George Clooney, Paolo Bonacelli,1,0
The Town,7.5,2010,9,125,Ben Affleck,37000000.0,154026136.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ben Affleck, Rebecca Hall,1,0
The Other Guys,6.6,2010,8,107,Adam McKay,100000000.0,170458922.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Ferrell, Mark Wahlberg,1,0
Knight and Day,6.3,2010,6,109,James Mangold,117000000.0,261989769.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tom Cruise, Cameron Diaz,1,0
Grown Ups,5.9,2010,6,102,Dennis Dugan,80000000.0,271457301.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adam Sandler, Salma Hayek,1,0
Diary of a Wimpy Kid,6.2,2010,3,94,Thor Freudenthal,15000000.0,76196538.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zachary Gordon, Robert Capron,0,0
