Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
Elvis,7.4,2022,6,159,Baz Luhrmann,85000000.0,286040048.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Tom Hanks, Austin Butler,1,0
The Gray Man,6.5,2022,7,122,Anthony Russo,200000000.0,454023.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ryan Gosling, Chris Evans,1,0
RRR,7.9,2022,3,187,S. S. Rajamouli,42000000.0,102973162.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N T Rama Rao Jr , Ram Charan Teja,0,0
Decision to Leave,7.3,2022,6,139,Park Chan-wook,10000000.0,21661216.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Park Hae il, Tang Wei,0,0
Fall,6.4,2022,8,107,Scott Mann,3000000.0,17377065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Grace Caroline Currey, Virginia Gardner,0,0
Uncharted,6.3,2022,2,116,Ruben Fleischer,120000000.0,401748820.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Holland, Mark Wahlberg,0,0
Death on the Nile,6.3,2022,2,127,Kenneth Branagh,90000000.0,137307235.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Tom Bateman, Annette Bening,0,0
Corsage,6.7,2022,12,113,Marie Kreutzer,7950000.0,1259206.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vicky Krieps, Colin Morgan,0,0
Jurassic World: Dominion,5.7,2022,6,147,Colin Trevorrow,165000000.0,1001136080.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chris Pratt, Bryce Dallas Howard,1,0
Memory,5.7,2022,4,114,Martin Campbell,30000000.0,13897255.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Liam Neeson, Guy Pearce,1,0
Dune,8.0,2021,10,155,Denis Villeneuve,165000000.0,401847900.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Timoth e Chalamet, Rebecca Ferguson,0,0
Spider-Man: No Way Home,8.3,2021,12,148,Jon Watts,200000000.0,1917430023.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tom Holland, Zendaya,0,0
The Little Things,6.3,2021,1,128,John Lee Hancock,30000000.0,30863426.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Denzel Washington, Rami Malek,1,0
No Time to Die,7.3,2021,10,163,Cary Joji Fukunaga,250000000.0,774153007.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Daniel Craig, Ana de Armas,1,0
The Suicide Squad,7.2,2021,8,132,James Gunn,185000000.0,168657565.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Margot Robbie, Idris Elba,1,0
Don't Look Up,7.2,2021,12,138,Adam McKay,75000000.0,791863.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Leonardo DiCaprio, Jennifer Lawrence,1,0
The Black Phone,6.9,2021,6,103,Scott Derrickson,18000000.0,161204742.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Mason Thames, Madeleine McGraw,0,0
Licorice Pizza,7.2,2021,12,133,Paul Thomas Anderson,40000000.0,33267952.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Alana Haim, Cooper Hoffman,0,0
