Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
White Noise,6.6,2022,12,R,136.0,Noah Baumbach,"Adam Driver, Greta Gerwig, Don Cheadle, Madison Gaughan","United States, United Kingdom",0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80000000.0,70459.0,-79929541.0,-1134.4120836231
Thor: Love and Thunder,6.3,2022,7,PG-13,118.0,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson","Australia, United States",0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000000.0,760928081.0,510928081.0,0.6714538387498411
Empire of Light,6.6,2022,12,R,115.0,Sam Mendes,"Olivia Colman, Micheal Ward, Colin Firth, Toby Jones","United Kingdom, United States",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,616584.0,0.0,0.0
The Mean One,4.2,2022,12,,93.0,Steven LaMorte,"David Howard Thornton, Krystle Martin, Chase Mullins, Amy Schumacher",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,520200.0,0.0,0.0
Slumberland,6.7,2022,11,PG,117.0,Francis Lawrence,"Jason Momoa, Marlow Barkley, Chris O Dowd, Kyle Chandler",United States,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150000000.0,0.0,0.0,0.0
Aftersun,7.7,2022,11,R,102.0,Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson Hall, Sally Messham","United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2229943.0,0.0,0.0
Roald Dahl's Matilda the Musical,7.4,2022,12,PG,117.0,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham","United Kingdom, United States",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15504227.0,0.0,0.0
Devotion,7.0,2022,11,PG-13,139.0,J D Dillard,"Jonathan Majors, Glen Powell, Christina Jackson, Thomas Sadoski",United States,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90000000.0,19949405.0,-70050595.0,-3.511412746395193
Terrifier 2,6.2,2022,10,Not Rated,138.0,Damien Leone,"Lauren LaVera, David Howard Thornton, Jenna Kanell, Kailey Hyman",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250000.0,12150025.0,11900025.0,0.9794239106503896
See How They Run,6.5,2022,9,PG-13,98.0,Tom George,"Kieran Hodgson, Pearl Chanda, Gregory Cox, Harris Dickinson","United States, United Kingdom",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40000000.0,21966634.0,-18033366.0,-0.8209435273515278
The Stranger,6.6,2022,10,TV-MA,117.0,Thomas M Wright,"Joel Edgerton, Sean Harris, Jada Alberts, Cormac Wright",Australia,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,139087.0,0.0,0.0
Elvis,7.4,2022,6,PG-13,159.0,Baz Luhrmann,"Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson","United States, Australia",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,85000000.0,286040048.0,201040048.0,0.7028388136754893
Weird: The Al Yankovic Story,7.0,2022,11,TV-14,108.0,Eric Appel,"Diedrich Bader, Daniel Radcliffe, Lin Manuel Miranda, Richard Aaron Anderson",United States,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8000000.0,0.0,0.0,0.0
The Gray Man,6.5,2022,7,PG-13,122.0,"Anthony Russo, Joe Russo","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton","United States, Czech Republic",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200000000.0,454023.0,-199545977.0,-439.50631796186536
