Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Filming_location,Budget,Income,Country_of_origin, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller
Smile,6.6,2022,September,R,115,Parker Finn,"Sosie Bacon, Jessie T Usher, Kyle Gallner, Robin Weigert",USA,"$17,000,000 ","$216,135,048 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Batman,7.8,2022,March,PG-13,176,Matt Reeves,"Robert Pattinson, Zo Kravitz, Jeffrey Wright, Colin Farrell",UK,"$200,000,000 ","$770,836,163 ",United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Something from Tiffany's,6.2,2022,December,PG,87,Daryl Wein,"Zoey Deutch, Kendrick Sampson, Ray Nicholson, Shay Mitchell",USA,Unknown,Unknown,United States,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barbarian,7.1,2022,September,R,102,Zach Cregger,"Georgina Campbell, Bill Skarsg rd, Justin Long, Matthew Patrick Davis",Bulgaria,"$4,500,000 ","$45,352,337 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
She Said,7.2,2022,November,R,129,Maria Schrader,"Carey Mulligan, Zoe Kazan, Patricia Clarkson, Andre Braugher",USA,"$32,000,000 ","$11,110,294 ",United States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ticket to Paradise,6.2,2022,October,PG-13,104,Ol Parker,"George Clooney, Sean Lynch, Julia Roberts, Arielle Carver O Neill",Australia,"$60,000,000 ","$167,456,898 ","United States, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Noel Diary,6.1,2022,November,TV-14,99,Charles Shyer,"Justin Hartley, Bonnie Bedelia, Barrett Doss, James Remar",USA,Unknown,Unknown,United States,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Prey for the Devil,5.2,2022,October,PG-13,93,Daniel Stamm,"Jacqueline Byers, Debora Zhecheva, Christian Navarro, Posy Taylor",Unknown,Unknown,"$43,300,652 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Northman,7.1,2022,April,R,137,Robert Eggers,"Alexander Skarsg rd, Nicole Kidman, Claes Bang, Ethan Hawke",Iceland,"$60,000,000 ","$69,633,110 ","United States, China, United Kingdom",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pale Blue Eye,7.6,2022,January,R,128,Scott Cooper,"Christian Bale, Harry Melling, Fred Hechinger, Gillian Anderson",USA,"$72,000,000 ",Unknown,United States,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
